date,close_eur,close_usd,close_gld,sma50d_eur,sma200d_eur,sma200w_eur,sma200w_factor_eur,sma50d_usd,sma200d_usd,sma200w_usd,sma200w_factor_usd,sma50d_gld,sma200d_gld,sma200w_gld,sma200w_factor_gld,powerlaw_q01_eur,powerlaw_q50_eur,powerlaw_q99_eur,powerlaw_factor_eur,powerlaw_q01_usd,powerlaw_q50_usd,powerlaw_q99_usd,powerlaw_factor_usd
2013-01-30,15.18,19.70,0.011750320598848826,11.35,9.53,,,14.65,12.11,,,0.00876870,0.00717784,,,10.31,20.95,261.29,0.01940394,12.52,26.10,379.21,0.01958057
2013-01-31,15.71,20.40,0.012261826050369656,11.46,9.58,,,14.78,12.18,,,0.00885387,0.00721493,,,10.35,21.03,262.13,0.02128843,12.57,26.20,380.38,0.02128817
2013-02-01,15.70,20.50,0.012291641683655114,11.56,9.63,,,14.92,12.24,,,0.00893825,0.00724965,,,10.39,21.12,262.97,0.02102304,12.62,26.31,381.56,0.02135849
2013-02-02,14.97,19.60,0.012291641683655114,11.65,9.67,,,15.04,12.29,,,0.00902368,0.00728330,,,10.43,21.20,263.81,0.01791775,12.67,26.41,382.73,0.01872669
2013-02-03,15.76,20.60,0.012291641683655114,11.75,9.71,,,15.18,12.35,,,0.00910911,0.00731582,,,10.47,21.29,264.66,0.02081120,12.72,26.51,383.91,0.02122902
2013-02-04,15.74,20.40,0.012182377355110328,11.86,9.75,,,15.32,12.40,,,0.00919236,0.00734860,,,10.52,21.37,265.51,0.02047139,12.77,26.62,385.09,0.02049312
2013-02-05,15.93,20.60,0.012312841815845313,11.97,9.79,,,15.47,12.46,,,0.00928199,0.00738333,,,10.56,21.46,266.36,0.02099296,12.82,26.72,386.28,0.02083222
2013-02-06,16.38,21.20,0.012636347380342134,12.09,9.84,,,15.62,12.53,,,0.00937553,0.00741968,,,10.60,21.54,267.21,0.02252445,12.87,26.83,387.47,0.02223705
2013-02-07,16.99,22.10,0.013226800730167281,12.22,9.89,,,15.79,12.59,,,0.00947682,0.00745898,,,10.64,21.63,268.06,0.02466786,12.92,26.93,388.66,0.02443179
2013-02-08,17.37,22.70,0.013614581396604151,12.36,9.94,,,15.98,12.67,,,0.00958526,0.00750047,,,10.69,21.71,268.92,0.02586841,12.97,27.04,389.85,0.02581724
2013-02-09,18.05,23.60,0.013614581396604151,12.52,10.00,,,16.18,12.74,,,0.00969469,0.00754133,,,10.73,21.80,269.78,0.02825709,13.02,27.14,391.05,0.02798720
2013-02-10,18.23,24.00,0.013614581396604151,12.67,10.05,,,16.39,12.82,,,0.00980412,0.00758200,,,10.77,21.89,270.64,0.02870666,13.07,27.25,392.25,0.02882536
2013-02-11,18.69,24.60,0.014922204361408512,12.84,10.11,,,16.62,12.90,,,0.00993971,0.00762908,,,10.81,21.97,271.50,0.03022747,13.12,27.35,393.45,0.03018431
2013-02-12,19.05,25.20,0.015257469802924348,13.02,10.17,,,16.85,12.98,,,0.01008327,0.00767795,,,10.86,22.06,272.37,0.03131811,13.17,27.46,394.65,0.03153507
2013-02-13,18.33,24.20,0.01473139552579516,13.17,10.23,,,17.07,13.05,,,0.01021504,0.00772418,,,10.90,22.15,273.24,0.02832202,13.22,27.57,395.86,0.02869538
2013-02-14,20.53,27.20,0.016643720361021876,13.38,10.29,,,17.34,13.15,,,0.01038522,0.00777998,,,10.94,22.24,274.11,0.03644032,13.27,27.67,397.07,0.03629495
2013-02-15,20.55,27.10,0.016832820895058852,13.58,10.36,,,17.62,13.24,,,0.01056080,0.00783609,,,10.99,22.32,274.98,0.03621349,13.33,27.78,398.28,0.03577088
2013-02-16,20.63,27.20,0.016832820895058852,13.79,10.42,,,17.89,13.33,,,0.01073563,0.00789114,,,11.03,22.41,275.85,0.03625104,13.38,27.89,399.50,0.03579198
2013-02-17,20.33,26.80,0.016832820895058852,13.99,10.49,,,18.16,13.41,,,0.01091046,0.00794531,,,11.08,22.50,276.73,0.03482025,13.43,28.00,400.72,0.03452193
2013-02-18,20.42,27.00,0.01676602086438152,14.19,10.55,,,18.43,13.49,,,0.01108395,0.00799600,,,11.12,22.59,277.61,0.03489812,13.48,28.11,401.94,0.03480410
2013-02-19,22.21,29.40,0.018320039880358924,14.43,10.61,,,18.75,13.59,,,0.01128918,0.00805331,,,11.16,22.68,278.49,0.04133468,13.54,28.22,403.17,0.04070528
2013-02-20,22.39,29.60,0.01893491124260355,14.67,10.68,,,19.08,13.68,,,0.01150803,0.00811370,,,11.21,22.77,279.37,0.04169153,13.59,28.33,404.39,0.04096725
2013-02-21,22.58,29.80,0.018900234667343186,14.92,10.75,,,19.41,13.77,,,0.01172827,0.00817392,,,11.25,22.86,280.26,0.04211739,13.64,28.44,405.62,0.04122659
